(1.0, 17.0)
(2.0, 5.0)
(2.0, 6.0)
(2.0, 7.0)
(2.0, 10.0)
(2.0, 11.0)
(2.0, 12.0)
(2.0, 17.0)
(3.0, 17.0)
(4.0, 17.0)
(5.0, 17.0)
(6.0, 3.0)
(6.0, 4.0)
(6.0, 5.0)
(6.0, 6.0)
(6.0, 7.0)
(6.0, 8.0)
(6.0, 9.0)
(7.0, 3.0)
(7.0, 4.0)
(7.0, 5.0)
(7.0, 6.0)
(7.0, 7.0)
(7.0, 8.0)
(7.0, 9.0)
(7.0, 11.0)
(7.0, 12.0)
(7.0, 17.0)
(7.0, 18.0)
(8.0, 3.0)
(8.0, 4.0)
(8.0, 5.0)
(8.0, 6.0)
(8.0, 7.0)
(8.0, 8.0)
(8.0, 9.0)
(8.0, 10.0)
(8.0, 11.0)
(8.0, 12.0)
(8.0, 16.0)
(8.0, 17.0)
(8.0, 18.0)
(9.0, 10.0)
(9.0, 11.0)
(9.0, 16.0)
(9.0, 17.0)
(10.0, 14.0)
(10.0, 15.0)
(10.0, 16.0)
(10.0, 17.0)
(10.0, 18.0)
(10.0, 19.0)
(10.0, 20.0)
(11.0, 14.0)
(11.0, 15.0)
(11.0, 16.0)
(11.0, 17.0)
(11.0, 18.0)
(11.0, 19.0)
(11.0, 20.0)
(12.0, 14.0)
(12.0, 15.0)
(12.0, 16.0)
(12.0, 17.0)
(12.0, 18.0)
(12.0, 19.0)
(12.0, 20.0)
(15.0, 8.0)
(15.0, 9.0)
(15.0, 10.0)
(15.0, 11.0)
(15.0, 12.0)
(15.0, 13.0)
(15.0, 14.0)
(15.0, 16.0)
(15.0, 17.0)
(15.0, 18.0)
(18.0, 3.0)
(18.0, 4.0)
(18.0, 5.0)
